ISBN,书名,作者,出版,价格,评分,人数,状态,书柜,购书日期,已读日期,封面,出版日期,详情页,推荐度,页数
9787549637256,权力与荣耀,格雷厄姆·格林 译者: 傅惟慈,文汇出版社,66,8.5,1444,已读,未设置,,,,,,0,
9787513926041,杏仁,[韩]孙元平 译者: 谢雅玉,民主与建设出版社,39.8,6.8,10096,计划,未设置,,,,,,0,
9787532751426,来一点信仰,[美] 米奇·阿尔博姆 译者: 吴正,上海译文出版社,69.00,8.2,1155,已读,未设置,,,,,,0,
9787532763863,来自新世界 （上下）,[日] 贵志祐介 译者: 丁丁虫,上海译文出版社,88.00,9.0,17552,计划,未设置,,,,,,0,
9787544384629,枕草子,清少纳言 译者: 周作人,海南出版社,69.00,7.9,90,已读,未设置,,,,,,0,
9787532772322,枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德 译者: 谢延光,上海译文出版社,55.00,8.6,6891,计划,未设置,,,,,,0,
9787547056981,查拉图斯特拉如是说,[德] 尼采 译者: 钱春绮,万卷出版公司 万榕书业,69.9,7.3,62,计划,未设置,,,,,,0,
9787544778008,树上的男爵,[意] 伊塔洛·卡尔维诺 译者: 吴正仪,译林出版社,52.00,9.1,2867,已读,未设置,,,,,,0,
9787559432476,格列佛游记,[英] 乔纳森·斯威夫特 译者: 白马/歌沐,江苏凤凰文艺出版社,39.90,8.0,89,默认,未设置,,,,,,0,
9787220118906,桶川跟踪狂杀人事件,[日] 清水洁 译者: 王华懋,四川人民出版社,45.00,9.0,58895,已读,未设置,,,,,,0,
9787201127132,梁实秋：人间意趣,梁实秋,天津人民出版社,无45.00,8.2,376,计划,未设置,,,,,,0,
9787539990583,棋王·树王·孩子王,阿城,江苏凤凰文艺出版社,38.00,9.1,1322,已读,未设置,,,,,,0,
9787516815823,欧·亨利短篇小说精选,(美)欧·亨利|译者:景天,台海出版社,39.8,8.2,43,默认,未设置,,,,,,0,
9787513922678,正义从哪里来,熊逸,民主与建设出版社,62.00,0.0,3,已读,未设置,,,,,,0,
9787510819513,正念禅修,【美】马克•威廉姆斯/【美】丹尼•彭曼 译者: 刘海青,九州出版社,32,8.8,1220,计划,未设置,,,,,,0,
9787550297685,步履不停,[日]是枝裕和 译者: 郑有杰,北京联合出版公司,58.00,8.4,545,已读,未设置,,,,,,0,
9787221173836,每一句话语都坐着别的眼睛,[德] 赫塔·米勒 译者: 李贻琼,贵州人民出版社,52.00,9.0,8730,已读,未设置,,,,,,0,
9787541150432,每天一首古诗词,云葭,四川文艺出版社,39.8,7.1,129,计划,未设置,,,,,,0,
9787541152085,每天一首古诗词2,云葭,四川文艺出版社,39.8,7.6,140,计划,未设置,,,,,,0,
9787100128360,水浒传（全二册）,（明）施耐庵,商务印书馆,,0.0,3,默认,未设置,,,,,,0,
9787559429667,永恒火焰,[英] 肯·福莱特 译者: 王林园,江苏凤凰文艺出版社,158.00,7.5,1502,计划,未设置,,,,,,0,
9787534046568,汉印三百品,艺文类聚金石书画馆 编,浙江人民美术出版社,32.00,9.2,68,默认,未设置,,,,,,0,
9787555910749,沉默的病人,[英]亚历克斯·麦克利兹 译者: 祁阿红,河南文艺出版社,45.00,7.7,24761,已读,未设置,,,,,,0,
9787505741188,沙乡年鉴,[美]利奥波德 译者: 李静滢,中国友谊出版公司,32.00,0.0,4,默认,未设置,,,https://img1.doubanio.com/view/subject/l/public/s34418528.jpg,,https://book.douban.com/subject/36245843/,0,264
9787208137172,治史三书（增订本）,严耕望,上海人民出版社,49.00,9.4,2405,计划,未设置,,,,,,0,
9787020147496,沿着季风的方向,刘子超,人民文学出版社,42.00,8.1,6182,已读,未设置,,,,,,0,
9787508645483,泛若不系之舟,傅真,中信出版社,39.80,8.5,8232,计划,未设置,,,,,,0,
9787532754557,波多里诺,[意]翁贝托·埃科著 译者: 杨孟哲,上海译文出版社,34.00,9.2,139,计划,未设置,,,,,,0,
9787510891779,洞穴奇案,[美] 彼得·萨伯/Peter Suber 译者: 陈福勇/张世泰,九州出版社,56.00,8.8,6600,计划,未设置,,,,,,0,
9787210097143,活下去的理由,[英] 马特·海格 译者: 赵燕飞,江西人民出版社,38.00,8.1,13212,已读,未设置,,,,,,0,
9787506365437,活着,余华,作家出版社,28.00,9.4,898625,已读,未设置,,,,,,0,
9787539996318,活着本来单纯,丰子恺,江苏凤凰文艺出版社,45,8.8,4164,计划,未设置,,,,,,0,
9787201094014,浮生六记,沈复 译者: 张佳玮,天津人民出版社,32.00,8.1,31207,已读,未设置,,,,,,0,
9787559644763,浮生自在,史铁生 等著/北京文学月刊社 主编,北京联合出版公司,39.8,8.2,70,计划,未设置,,,https://img3.doubanio.com/view/subject/l/public/s33716707.jpg,2020-9,https://book.douban.com/subject/35167962/,0,
9787559427410,海底两万里,儒勒·凡尔纳 译者: 金祎,江苏凤凰文艺出版社,49.00,8.3,188,默认,未设置,,,,,,0,
9787532175512,消失的13级台阶,[日] 高野和明 译者: 赵建勋,上海文艺出版社,42.00,8.5,114196,已读,未设置,,,,,,0,
9787544280709,游戏的终结,[阿根廷] 胡里奥·科塔萨尔 译者: 莫娅妮,南海出版公司,45.00,8.8,1702,已读,未设置,,,,,,0,
9787214153388,湘行散记,沈从文,江苏人民出版社,25.00,8.4,478,默认,未设置,,,,,,0,
9787532780006,潮骚,[日] 三岛由纪夫 译者: 王述坤,上海译文出版社,35.00,8.7,537,已读,未设置,,,,,,0,
9787559636485,熊逸书院,熊逸,北京联合出版公司,223.00,8.8,88,计划,未设置,,,https://img9.doubanio.com/view/subject/l/public/s33576756.jpg,2020-5,https://book.douban.com/subject/34932006/,0,
9787541149337,熊镇,[瑞典] 弗雷德里克·巴克曼 译者: 郭腾坚,四川文艺出版社,45.00,8.0,11067,已读,未设置,,,,,,0,
9787549616213,爱伦·坡短篇小说集,[美] 埃德加·爱伦·坡 译者: 曹明伦,读客图书·文汇出版社,59.90,8.2,2798,计划,未设置,,,,,,0,
9787541169977,牛虻,艾捷尔·丽莲·伏尼契 译者: 宗端华 熊亭玉,四川文艺出版社,49.8,8.5,20,默认,未设置,,,https://img9.doubanio.com/view/subject/l/public/s34959545.jpg,2024-7,https://book.douban.com/subject/37022298/,18,251
9787555912187,猫眼,[加] 玛格丽特·阿特伍德 译者: 黄协安,河南文艺出版社,88.00,8.2,2157,已读,未设置,,,https://img1.doubanio.com/view/subject/l/public/s34201920.jpg,2022-4-26,,0,
9787549565115,献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 译者: 陈澄和,广西师范大学出版社,36.00,9.1,130957,已读,未设置,,,https://img1.doubanio.com/view/subject/l/public/s28050760.jpg,2015-4,,0,
9787559634191,王阳明：一切心法（修订版）,熊逸,北京联合出版公司,69.00,8.2,580,已读,未设置,,,https://img3.doubanio.com/view/subject/l/public/s33531727.jpg,2019-10,https://book.douban.com/subject/34898782/,0,
9787532766277,玫瑰的名字,[意] 翁贝托·埃科 译者: 沈萼梅/刘锡荣,上海译文出版社,58.00,8.8,1726,计划,未设置,,,https://img9.doubanio.com/view/subject/l/public/s28008225.jpg,2015-1,,0,
9787535795489,现实不似你所见,[意] 卡洛·罗韦利 译者: 杨光,湖南科学技术出版社,49.00,9.2,6500,计划,未设置,,,https://img2.doubanio.com/view/subject/l/public/s29561691.jpg,2017-11,,0,
9787532757039,玻璃球游戏,[德] 黑塞 译者: 张佩芬,上海译文出版社,27.00,8.8,2423,计划,未设置,,,,,,0,
9787541138768,瓦尔登湖,[美]亨利·戴维·梭罗 译者: 仲泽,四川文艺出版社,38.00,8.8,297,计划,未设置,,,,,,0,
9787533946289,生如夏花,[印度] 拉宾德拉纳特·泰戈尔 译者: 郑振铎,浙江文艺出版社,39.80,8.8,140,默认,未设置,,,,,,0,
9787533966102,生死疲劳,莫言,浙江文艺出版社,69.90,9.0,59836,已读,未设置,,,,,,0,
